,Year,Week,Date,Need States,Ecomm POS (Factory $)
0,2021,1,2021-01-04,Need State 1,3684.75
1,2021,1,2021-01-04,Need State 2,11283.0
2,2021,1,2021-01-04,Need State 3,11958.75
3,2021,1,2021-01-04,Need State 4,14755.5
4,2021,1,2021-01-04,Need State 5,448.5
5,2021,1,2021-01-04,Need State 6,6929.25
6,2021,2,2021-01-11,Need State 1,3426.75
7,2021,2,2021-01-11,Need State 2,12698.25
8,2021,2,2021-01-11,Need State 3,11279.25
9,2021,2,2021-01-11,Need State 4,16803.0
10,2021,2,2021-01-11,Need State 5,285.75
11,2021,2,2021-01-11,Need State 6,6226.5
12,2021,3,2021-01-18,Need State 1,4221.75
13,2021,3,2021-01-18,Need State 2,18210.0
14,2021,3,2021-01-18,Need State 3,9659.25
15,2021,3,2021-01-18,Need State 4,16849.5
16,2021,3,2021-01-18,Need State 5,276.0
17,2021,3,2021-01-18,Need State 6,7128.75
18,2021,4,2021-01-25,Need State 1,2959.5
19,2021,4,2021-01-25,Need State 2,12725.25
20,2021,4,2021-01-25,Need State 3,11369.25
21,2021,4,2021-01-25,Need State 4,14108.25
22,2021,4,2021-01-25,Need State 5,237.75
23,2021,4,2021-01-25,Need State 6,6423.75
24,2021,5,2021-02-01,Need State 1,3402.75
25,2021,5,2021-02-01,Need State 2,19290.75
26,2021,5,2021-02-01,Need State 3,8376.0
27,2021,5,2021-02-01,Need State 4,20616.0
28,2021,5,2021-02-01,Need State 5,433.5
29,2021,5,2021-02-01,Need State 6,6801.0
30,2021,6,2021-02-08,Need State 1,3440.25
31,2021,6,2021-02-08,Need State 2,12869.25
32,2021,6,2021-02-08,Need State 3,9748.5
33,2021,6,2021-02-08,Need State 4,13823.25
34,2021,6,2021-02-08,Need State 5,233.25
35,2021,6,2021-02-08,Need State 6,6545.25
36,2021,7,2021-02-15,Need State 1,2619.0
37,2021,7,2021-02-15,Need State 2,14770.5
38,2021,7,2021-02-15,Need State 3,7694.25
39,2021,7,2021-02-15,Need State 4,13392.75
40,2021,7,2021-02-15,Need State 5,370.5
41,2021,7,2021-02-15,Need State 6,5718.0
42,2021,8,2021-02-22,Need State 1,3240.75
43,2021,8,2021-02-22,Need State 2,13758.0
44,2021,8,2021-02-22,Need State 3,12636.0
45,2021,8,2021-02-22,Need State 4,14490.0
46,2021,8,2021-02-22,Need State 5,315.75
47,2021,8,2021-02-22,Need State 6,7878.0
48,2021,9,2021-03-01,Need State 1,3461.25
49,2021,9,2021-03-01,Need State 2,14404.5
50,2021,9,2021-03-01,Need State 3,8955.0
51,2021,9,2021-03-01,Need State 4,13727.25
52,2021,9,2021-03-01,Need State 5,551.25
53,2021,9,2021-03-01,Need State 6,6035.25
54,2021,10,2021-03-08,Need State 1,3045.0
55,2021,10,2021-03-08,Need State 2,10047.75
56,2021,10,2021-03-08,Need State 3,8427.75
57,2021,10,2021-03-08,Need State 4,11023.5
58,2021,10,2021-03-08,Need State 5,675.75
59,2021,10,2021-03-08,Need State 6,5799.0
60,2021,11,2021-03-15,Need State 1,3942.75
61,2021,11,2021-03-15,Need State 2,12971.25
62,2021,11,2021-03-15,Need State 3,9404.25
63,2021,11,2021-03-15,Need State 4,12563.25
64,2021,11,2021-03-15,Need State 5,995.25
65,2021,11,2021-03-15,Need State 6,5229.0
66,2021,12,2021-03-22,Need State 1,4527.0
67,2021,12,2021-03-22,Need State 2,10590.75
68,2021,12,2021-03-22,Need State 3,9249.0
69,2021,12,2021-03-22,Need State 4,12119.25
70,2021,12,2021-03-22,Need State 5,1776.75
71,2021,12,2021-03-22,Need State 6,5707.5
72,2021,13,2021-03-29,Need State 1,5049.75
73,2021,13,2021-03-29,Need State 2,10084.5
74,2021,13,2021-03-29,Need State 3,7868.25
75,2021,13,2021-03-29,Need State 4,12805.5
76,2021,13,2021-03-29,Need State 5,2505.0
77,2021,13,2021-03-29,Need State 6,6843.0
78,2021,14,2021-04-05,Need State 1,5021.25
79,2021,14,2021-04-05,Need State 2,9434.25
80,2021,14,2021-04-05,Need State 3,10521.0
81,2021,14,2021-04-05,Need State 4,11544.0
82,2021,14,2021-04-05,Need State 5,3737.25
83,2021,14,2021-04-05,Need State 6,5844.75
84,2021,15,2021-04-12,Need State 1,7921.5
85,2021,15,2021-04-12,Need State 2,14040.75
86,2021,15,2021-04-12,Need State 3,12336.75
87,2021,15,2021-04-12,Need State 4,14825.25
88,2021,15,2021-04-12,Need State 5,6728.25
89,2021,15,2021-04-12,Need State 6,8559.75
90,2021,16,2021-04-19,Need State 1,8265.0
91,2021,16,2021-04-19,Need State 2,15936.0
92,2021,16,2021-04-19,Need State 3,11125.5
93,2021,16,2021-04-19,Need State 4,22781.25
94,2021,16,2021-04-19,Need State 5,6337.5
95,2021,16,2021-04-19,Need State 6,7908.75
96,2021,17,2021-04-26,Need State 1,9694.5
97,2021,17,2021-04-26,Need State 2,15492.0
98,2021,17,2021-04-26,Need State 3,11022.75
99,2021,17,2021-04-26,Need State 4,14601.0
100,2021,17,2021-04-26,Need State 5,8767.5
101,2021,17,2021-04-26,Need State 6,10527.0
102,2021,18,2021-05-03,Need State 1,9465.75
103,2021,18,2021-05-03,Need State 2,12170.25
104,2021,18,2021-05-03,Need State 3,12348.75
105,2021,18,2021-05-03,Need State 4,13516.5
106,2021,18,2021-05-03,Need State 5,7281.0
107,2021,18,2021-05-03,Need State 6,11718.0
108,2021,19,2021-05-10,Need State 1,9294.0
109,2021,19,2021-05-10,Need State 2,14530.5
110,2021,19,2021-05-10,Need State 3,9120.0
111,2021,19,2021-05-10,Need State 4,14590.5
112,2021,19,2021-05-10,Need State 5,13542.0
113,2021,19,2021-05-10,Need State 6,11941.5
114,2021,20,2021-05-17,Need State 1,11571.0
115,2021,20,2021-05-17,Need State 2,11547.0
116,2021,20,2021-05-17,Need State 3,13093.5
117,2021,20,2021-05-17,Need State 4,12529.5
118,2021,20,2021-05-17,Need State 5,17999.25
119,2021,20,2021-05-17,Need State 6,16122.75
120,2021,21,2021-05-24,Need State 1,10518.0
121,2021,21,2021-05-24,Need State 2,12012.0
122,2021,21,2021-05-24,Need State 3,10692.0
123,2021,21,2021-05-24,Need State 4,12645.0
124,2021,21,2021-05-24,Need State 5,28365.75
125,2021,21,2021-05-24,Need State 6,14102.25
126,2021,22,2021-05-31,Need State 1,9945.0
127,2021,22,2021-05-31,Need State 2,9823.5
128,2021,22,2021-05-31,Need State 3,10530.0
129,2021,22,2021-05-31,Need State 4,11053.5
130,2021,22,2021-05-31,Need State 5,16926.0
131,2021,22,2021-05-31,Need State 6,13658.25
132,2021,23,2021-06-07,Need State 1,8270.25
133,2021,23,2021-06-07,Need State 2,10550.25
134,2021,23,2021-06-07,Need State 3,8646.75
135,2021,23,2021-06-07,Need State 4,12019.5
136,2021,23,2021-06-07,Need State 5,20357.25
137,2021,23,2021-06-07,Need State 6,11581.5
138,2021,24,2021-06-14,Need State 1,7458.75
139,2021,24,2021-06-14,Need State 2,10377.0
140,2021,24,2021-06-14,Need State 3,9419.25
141,2021,24,2021-06-14,Need State 4,10047.75
142,2021,24,2021-06-14,Need State 5,12407.25
143,2021,24,2021-06-14,Need State 6,12146.25
144,2021,25,2021-06-21,Need State 1,5764.5
145,2021,25,2021-06-21,Need State 2,7430.25
146,2021,25,2021-06-21,Need State 3,6986.25
147,2021,25,2021-06-21,Need State 4,10372.5
148,2021,25,2021-06-21,Need State 5,11602.5
149,2021,25,2021-06-21,Need State 6,11598.75
150,2021,26,2021-06-28,Need State 1,5799.0
151,2021,26,2021-06-28,Need State 2,8093.25
152,2021,26,2021-06-28,Need State 3,8842.5
153,2021,26,2021-06-28,Need State 4,9849.0
154,2021,26,2021-06-28,Need State 5,14219.25
155,2021,26,2021-06-28,Need State 6,9384.0
156,2021,27,2021-07-05,Need State 1,4686.75
157,2021,27,2021-07-05,Need State 2,6697.5
158,2021,27,2021-07-05,Need State 3,7251.75
159,2021,27,2021-07-05,Need State 4,8484.75
160,2021,27,2021-07-05,Need State 5,9683.25
161,2021,27,2021-07-05,Need State 6,7965.75
162,2021,28,2021-07-12,Need State 1,5145.75
163,2021,28,2021-07-12,Need State 2,7224.0
164,2021,28,2021-07-12,Need State 3,7355.25
165,2021,28,2021-07-12,Need State 4,9808.5
166,2021,28,2021-07-12,Need State 5,6409.5
167,2021,28,2021-07-12,Need State 6,9339.0
168,2021,29,2021-07-19,Need State 1,4277.25
169,2021,29,2021-07-19,Need State 2,8355.75
170,2021,29,2021-07-19,Need State 3,5880.0
171,2021,29,2021-07-19,Need State 4,8745.75
172,2021,29,2021-07-19,Need State 5,4857.0
173,2021,29,2021-07-19,Need State 6,8558.25
174,2021,30,2021-07-26,Need State 1,3400.5
175,2021,30,2021-07-26,Need State 2,5889.75
176,2021,30,2021-07-26,Need State 3,7737.75
177,2021,30,2021-07-26,Need State 4,8175.0
178,2021,30,2021-07-26,Need State 5,2762.25
179,2021,30,2021-07-26,Need State 6,7830.0
180,2021,31,2021-08-02,Need State 1,4156.5
181,2021,31,2021-08-02,Need State 2,6570.75
182,2021,31,2021-08-02,Need State 3,5929.5
183,2021,31,2021-08-02,Need State 4,8167.5
184,2021,31,2021-08-02,Need State 5,3534.75
185,2021,31,2021-08-02,Need State 6,8070.0
186,2021,32,2021-08-09,Need State 1,3395.25
187,2021,32,2021-08-09,Need State 2,6599.25
188,2021,32,2021-08-09,Need State 3,5922.75
189,2021,32,2021-08-09,Need State 4,8409.75
190,2021,32,2021-08-09,Need State 5,2136.0
191,2021,32,2021-08-09,Need State 6,7860.0
192,2021,33,2021-08-16,Need State 1,3780.75
193,2021,33,2021-08-16,Need State 2,7659.75
194,2021,33,2021-08-16,Need State 3,7146.75
195,2021,33,2021-08-16,Need State 4,10485.75
196,2021,33,2021-08-16,Need State 5,3093.75
197,2021,33,2021-08-16,Need State 6,7491.0
198,2021,34,2021-08-23,Need State 1,3655.5
199,2021,34,2021-08-23,Need State 2,5667.0
200,2021,34,2021-08-23,Need State 3,6741.0
201,2021,34,2021-08-23,Need State 4,9972.0
202,2021,34,2021-08-23,Need State 5,2869.5
203,2021,34,2021-08-23,Need State 6,8354.25
204,2021,35,2021-08-30,Need State 1,4038.75
205,2021,35,2021-08-30,Need State 2,6619.5
206,2021,35,2021-08-30,Need State 3,6010.5
207,2021,35,2021-08-30,Need State 4,10860.0
208,2021,35,2021-08-30,Need State 5,1594.5
209,2021,35,2021-08-30,Need State 6,7929.75
210,2021,36,2021-09-06,Need State 1,3996.0
211,2021,36,2021-09-06,Need State 2,6052.5
212,2021,36,2021-09-06,Need State 3,8017.5
213,2021,36,2021-09-06,Need State 4,9233.25
214,2021,36,2021-09-06,Need State 5,1974.0
215,2021,36,2021-09-06,Need State 6,6942.75
216,2021,37,2021-09-13,Need State 1,2899.5
217,2021,37,2021-09-13,Need State 2,8075.25
218,2021,37,2021-09-13,Need State 3,5499.0
219,2021,37,2021-09-13,Need State 4,10282.5
220,2021,37,2021-09-13,Need State 5,1316.25
221,2021,37,2021-09-13,Need State 6,6576.75
222,2021,38,2021-09-20,Need State 1,4110.75
223,2021,38,2021-09-20,Need State 2,6512.25
224,2021,38,2021-09-20,Need State 3,7940.25
225,2021,38,2021-09-20,Need State 4,9164.25
226,2021,38,2021-09-20,Need State 5,1104.75
227,2021,38,2021-09-20,Need State 6,7738.5
228,2021,39,2021-09-27,Need State 1,2969.25
229,2021,39,2021-09-27,Need State 2,6955.5
230,2021,39,2021-09-27,Need State 3,6592.5
231,2021,39,2021-09-27,Need State 4,12162.75
232,2021,39,2021-09-27,Need State 5,453.75
233,2021,39,2021-09-27,Need State 6,6446.25
234,2021,40,2021-10-04,Need State 1,3213.0
235,2021,40,2021-10-04,Need State 2,5948.25
236,2021,40,2021-10-04,Need State 3,6909.0
237,2021,40,2021-10-04,Need State 4,10622.25
238,2021,40,2021-10-04,Need State 5,327.0
239,2021,40,2021-10-04,Need State 6,6249.75
240,2021,41,2021-10-11,Need State 1,2867.25
241,2021,41,2021-10-11,Need State 2,6466.5
242,2021,41,2021-10-11,Need State 3,6232.5
243,2021,41,2021-10-11,Need State 4,8721.75
244,2021,41,2021-10-11,Need State 5,204.75
245,2021,41,2021-10-11,Need State 6,6146.25
246,2021,42,2021-10-18,Need State 1,3072.0
247,2021,42,2021-10-18,Need State 2,7743.75
248,2021,42,2021-10-18,Need State 3,6338.25
249,2021,42,2021-10-18,Need State 4,10592.25
250,2021,42,2021-10-18,Need State 5,226.5
251,2021,42,2021-10-18,Need State 6,6003.75
252,2021,43,2021-10-25,Need State 1,2651.25
253,2021,43,2021-10-25,Need State 2,9129.75
254,2021,43,2021-10-25,Need State 3,4853.25
255,2021,43,2021-10-25,Need State 4,10680.0
256,2021,43,2021-10-25,Need State 5,270.75
257,2021,43,2021-10-25,Need State 6,7296.0
258,2021,44,2021-11-01,Need State 1,2442.75
259,2021,44,2021-11-01,Need State 2,7565.25
260,2021,44,2021-11-01,Need State 3,6712.5
261,2021,44,2021-11-01,Need State 4,9960.75
262,2021,44,2021-11-01,Need State 5,264.75
263,2021,44,2021-11-01,Need State 6,5988.75
264,2021,45,2021-11-08,Need State 1,2108.25
265,2021,45,2021-11-08,Need State 2,7682.25
266,2021,45,2021-11-08,Need State 3,5549.25
267,2021,45,2021-11-08,Need State 4,8895.0
268,2021,45,2021-11-08,Need State 5,219.75
269,2021,45,2021-11-08,Need State 6,5532.0
270,2021,46,2021-11-15,Need State 1,2079.75
271,2021,46,2021-11-15,Need State 2,9483.75
272,2021,46,2021-11-15,Need State 3,6735.75
273,2021,46,2021-11-15,Need State 4,10631.25
274,2021,46,2021-11-15,Need State 5,252.75
275,2021,46,2021-11-15,Need State 6,5456.25
276,2021,47,2021-11-22,Need State 1,2442.75
277,2021,47,2021-11-22,Need State 2,12681.0
278,2021,47,2021-11-22,Need State 3,7647.0
279,2021,47,2021-11-22,Need State 4,9816.75
280,2021,47,2021-11-22,Need State 5,406.5
281,2021,47,2021-11-22,Need State 6,6828.0
282,2021,48,2021-11-29,Need State 1,3016.5
283,2021,48,2021-11-29,Need State 2,14578.5
284,2021,48,2021-11-29,Need State 3,13239.0
285,2021,48,2021-11-29,Need State 4,10827.0
286,2021,48,2021-11-29,Need State 5,647.25
287,2021,48,2021-11-29,Need State 6,9346.5
288,2021,49,2021-12-06,Need State 1,2412.0
289,2021,49,2021-12-06,Need State 2,8278.5
290,2021,49,2021-12-06,Need State 3,5052.75
291,2021,49,2021-12-06,Need State 4,10139.25
292,2021,49,2021-12-06,Need State 5,277.5
293,2021,49,2021-12-06,Need State 6,6275.25
294,2021,50,2021-12-13,Need State 1,2110.5
295,2021,50,2021-12-13,Need State 2,9657.0
296,2021,50,2021-12-13,Need State 3,5668.5
297,2021,50,2021-12-13,Need State 4,10624.5
298,2021,50,2021-12-13,Need State 5,230.25
299,2021,50,2021-12-13,Need State 6,5706.0
300,2021,51,2021-12-20,Need State 1,2878.5
301,2021,51,2021-12-20,Need State 2,8244.75
302,2021,51,2021-12-20,Need State 3,6709.5
303,2021,51,2021-12-20,Need State 4,10371.75
304,2021,51,2021-12-20,Need State 5,187.5
305,2021,51,2021-12-20,Need State 6,6168.0
306,2021,52,2021-12-27,Need State 1,2358.75
307,2021,52,2021-12-27,Need State 2,7518.0
308,2021,52,2021-12-27,Need State 3,6012.0
309,2021,52,2021-12-27,Need State 4,8635.5
310,2021,52,2021-12-27,Need State 5,382.5
311,2021,52,2021-12-27,Need State 6,5531.25
312,2022,1,2022-01-03,Need State 1,3441.75
313,2022,1,2022-01-03,Need State 2,8566.5
314,2022,1,2022-01-03,Need State 3,8359.5
315,2022,1,2022-01-03,Need State 4,11095.5
316,2022,1,2022-01-03,Need State 5,471.0
317,2022,1,2022-01-03,Need State 6,7405.5
318,2022,2,2022-01-10,Need State 1,3657.0
319,2022,2,2022-01-10,Need State 2,11636.25
320,2022,2,2022-01-10,Need State 3,7750.5
321,2022,2,2022-01-10,Need State 4,17230.5
322,2022,2,2022-01-10,Need State 5,537.0
323,2022,2,2022-01-10,Need State 6,9000.75
324,2022,3,2022-01-17,Need State 1,3806.25
325,2022,3,2022-01-17,Need State 2,9718.5
326,2022,3,2022-01-17,Need State 3,6705.0
327,2022,3,2022-01-17,Need State 4,13074.75
328,2022,3,2022-01-17,Need State 5,411.75
329,2022,3,2022-01-17,Need State 6,8354.25
330,2022,4,2022-01-24,Need State 1,3765.75
331,2022,4,2022-01-24,Need State 2,9857.25
332,2022,4,2022-01-24,Need State 3,8472.0
333,2022,4,2022-01-24,Need State 4,11168.25
334,2022,4,2022-01-24,Need State 5,540.75
335,2022,4,2022-01-24,Need State 6,8982.75
336,2022,5,2022-01-31,Need State 1,3984.0
337,2022,5,2022-01-31,Need State 2,12634.5
338,2022,5,2022-01-31,Need State 3,8309.25
339,2022,5,2022-01-31,Need State 4,19377.0
340,2022,5,2022-01-31,Need State 5,601.5
341,2022,5,2022-01-31,Need State 6,8905.5
342,2022,6,2022-02-07,Need State 1,2999.25
343,2022,6,2022-02-07,Need State 2,8575.5
344,2022,6,2022-02-07,Need State 3,5844.75
345,2022,6,2022-02-07,Need State 4,10166.25
346,2022,6,2022-02-07,Need State 5,541.5
347,2022,6,2022-02-07,Need State 6,6419.25
348,2022,7,2022-02-14,Need State 1,3231.75
349,2022,7,2022-02-14,Need State 2,7626.0
350,2022,7,2022-02-14,Need State 3,5243.25
351,2022,7,2022-02-14,Need State 4,10544.25
352,2022,7,2022-02-14,Need State 5,758.25
353,2022,7,2022-02-14,Need State 6,6573.0
354,2022,8,2022-02-21,Need State 1,2896.5
355,2022,8,2022-02-21,Need State 2,6586.5
356,2022,8,2022-02-21,Need State 3,7948.5
357,2022,8,2022-02-21,Need State 4,9573.75
358,2022,8,2022-02-21,Need State 5,493.5
359,2022,8,2022-02-21,Need State 6,6710.25
360,2022,9,2022-02-28,Need State 1,2938.5
361,2022,9,2022-02-28,Need State 2,7532.25
362,2022,9,2022-02-28,Need State 3,4886.25
363,2022,9,2022-02-28,Need State 4,9941.25
364,2022,9,2022-02-28,Need State 5,748.5
365,2022,9,2022-02-28,Need State 6,8185.5
366,2022,10,2022-03-07,Need State 1,3370.5
367,2022,10,2022-03-07,Need State 2,6529.5
368,2022,10,2022-03-07,Need State 3,5438.25
369,2022,10,2022-03-07,Need State 4,8024.25
370,2022,10,2022-03-07,Need State 5,1540.5
371,2022,10,2022-03-07,Need State 6,6075.75
372,2022,11,2022-03-14,Need State 1,3465.0
373,2022,11,2022-03-14,Need State 2,6819.0
374,2022,11,2022-03-14,Need State 3,4990.5
375,2022,11,2022-03-14,Need State 4,8870.25
376,2022,11,2022-03-14,Need State 5,726.0
377,2022,11,2022-03-14,Need State 6,5880.75
378,2022,12,2022-03-21,Need State 1,4341.0
379,2022,12,2022-03-21,Need State 2,7100.25
380,2022,12,2022-03-21,Need State 3,7619.25
381,2022,12,2022-03-21,Need State 4,9240.0
382,2022,12,2022-03-21,Need State 5,1792.5
383,2022,12,2022-03-21,Need State 6,6043.5
384,2022,13,2022-03-28,Need State 1,5413.5
385,2022,13,2022-03-28,Need State 2,7289.25
386,2022,13,2022-03-28,Need State 3,4386.0
387,2022,13,2022-03-28,Need State 4,10481.25
388,2022,13,2022-03-28,Need State 5,2394.0
389,2022,13,2022-03-28,Need State 6,6873.0
390,2022,14,2022-04-04,Need State 1,4136.25
391,2022,14,2022-04-04,Need State 2,6840.0
392,2022,14,2022-04-04,Need State 3,6857.25
393,2022,14,2022-04-04,Need State 4,8949.0
394,2022,14,2022-04-04,Need State 5,1094.25
395,2022,14,2022-04-04,Need State 6,5549.25
396,2022,15,2022-04-11,Need State 1,5704.5
397,2022,15,2022-04-11,Need State 2,8550.75
398,2022,15,2022-04-11,Need State 3,5988.0
399,2022,15,2022-04-11,Need State 4,10015.5
400,2022,15,2022-04-11,Need State 5,1938.75
401,2022,15,2022-04-11,Need State 6,6033.75
402,2022,16,2022-04-18,Need State 1,4307.25
403,2022,16,2022-04-18,Need State 2,7314.75
404,2022,16,2022-04-18,Need State 3,4491.75
405,2022,16,2022-04-18,Need State 4,8343.0
406,2022,16,2022-04-18,Need State 5,1767.0
407,2022,16,2022-04-18,Need State 6,5556.75
408,2022,17,2022-04-25,Need State 1,6462.75
409,2022,17,2022-04-25,Need State 2,10150.5
410,2022,17,2022-04-25,Need State 3,7133.25
411,2022,17,2022-04-25,Need State 4,12491.25
412,2022,17,2022-04-25,Need State 5,3873.0
413,2022,17,2022-04-25,Need State 6,8270.25
414,2022,18,2022-05-02,Need State 1,5088.0
415,2022,18,2022-05-02,Need State 2,6726.0
416,2022,18,2022-05-02,Need State 3,4959.75
417,2022,18,2022-05-02,Need State 4,6842.25
418,2022,18,2022-05-02,Need State 5,2907.0
419,2022,18,2022-05-02,Need State 6,6912.0
420,2022,19,2022-05-09,Need State 1,5722.5
421,2022,19,2022-05-09,Need State 2,7780.5
422,2022,19,2022-05-09,Need State 3,5751.75
423,2022,19,2022-05-09,Need State 4,8835.75
424,2022,19,2022-05-09,Need State 5,6534.0
425,2022,19,2022-05-09,Need State 6,7340.25
426,2022,20,2022-05-16,Need State 1,5211.0
427,2022,20,2022-05-16,Need State 2,7908.0
428,2022,20,2022-05-16,Need State 3,5200.5
429,2022,20,2022-05-16,Need State 4,7607.25
430,2022,20,2022-05-16,Need State 5,6714.0
431,2022,20,2022-05-16,Need State 6,9194.25
432,2022,21,2022-05-23,Need State 1,6423.0
433,2022,21,2022-05-23,Need State 2,7419.0
434,2022,21,2022-05-23,Need State 3,6698.25
