,Year,Week,Date,Need States,Sales
0,2021,1,2021-01-04,Need State 1,132818.25
1,2021,1,2021-01-04,Need State 2,251858.25
2,2021,1,2021-01-04,Need State 3,209473.5
3,2021,1,2021-01-04,Need State 4,373678.5
4,2021,1,2021-01-04,Need State 5,246819.75
5,2021,2,2021-01-11,Need State 1,395708.25
6,2021,2,2021-01-11,Need State 2,510633.75
7,2021,2,2021-01-11,Need State 3,683112.0
8,2021,2,2021-01-11,Need State 4,597628.5
9,2021,2,2021-01-11,Need State 5,465099.75
10,2021,3,2021-01-18,Need State 1,207779.25
11,2021,3,2021-01-18,Need State 2,525278.25
12,2021,3,2021-01-18,Need State 3,627825.75
13,2021,3,2021-01-18,Need State 4,300238.5
14,2021,3,2021-01-18,Need State 5,548790.75
15,2021,4,2021-01-25,Need State 1,323169.75
16,2021,4,2021-01-25,Need State 2,480166.5
17,2021,4,2021-01-25,Need State 3,318566.25
18,2021,4,2021-01-25,Need State 4,319001.25
19,2021,4,2021-01-25,Need State 5,553418.25
20,2021,5,2021-02-01,Need State 1,71536.5
21,2021,5,2021-02-01,Need State 2,304409.25
22,2021,5,2021-02-01,Need State 3,439665.0
23,2021,5,2021-02-01,Need State 4,433508.25
24,2021,5,2021-02-01,Need State 5,323542.5
25,2021,6,2021-02-08,Need State 1,980441.25
26,2021,6,2021-02-08,Need State 2,460572.0
27,2021,6,2021-02-08,Need State 3,445863.75
28,2021,6,2021-02-08,Need State 4,640492.5
29,2021,6,2021-02-08,Need State 5,524925.0
30,2021,7,2021-02-15,Need State 1,316326.0
31,2021,7,2021-02-15,Need State 2,283466.25
32,2021,7,2021-02-15,Need State 3,334146.75
33,2021,7,2021-02-15,Need State 4,448128.0
34,2021,7,2021-02-15,Need State 5,462306.75
35,2021,8,2021-02-22,Need State 1,480405.0
36,2021,8,2021-02-22,Need State 2,419211.0
37,2021,8,2021-02-22,Need State 3,332299.5
38,2021,8,2021-02-22,Need State 4,412890.0
39,2021,8,2021-02-22,Need State 5,509691.75
40,2021,9,2021-03-01,Need State 1,1341342.75
41,2021,9,2021-03-01,Need State 2,321424.5
42,2021,9,2021-03-01,Need State 3,345800.25
43,2021,9,2021-03-01,Need State 4,331031.25
44,2021,9,2021-03-01,Need State 5,224058.75
45,2021,10,2021-03-08,Need State 1,2721590.25
46,2021,10,2021-03-08,Need State 2,285894.0
47,2021,10,2021-03-08,Need State 3,399765.0
48,2021,10,2021-03-08,Need State 4,461514.75
49,2021,10,2021-03-08,Need State 5,420538.5
50,2021,11,2021-03-15,Need State 1,808580.25
51,2021,11,2021-03-15,Need State 2,389976.0
52,2021,11,2021-03-15,Need State 3,251854.5
53,2021,11,2021-03-15,Need State 4,388106.25
54,2021,11,2021-03-15,Need State 5,287581.5
55,2021,12,2021-03-22,Need State 1,462552.0
56,2021,12,2021-03-22,Need State 2,357771.0
57,2021,12,2021-03-22,Need State 3,462864.75
58,2021,12,2021-03-22,Need State 4,476425.5
59,2021,12,2021-03-22,Need State 5,660348.75
60,2021,13,2021-03-29,Need State 1,1345166.25
61,2021,13,2021-03-29,Need State 2,275889.75
62,2021,13,2021-03-29,Need State 3,264009.75
63,2021,13,2021-03-29,Need State 4,488613.75
64,2021,13,2021-03-29,Need State 5,864904.5
65,2021,14,2021-04-05,Need State 1,1344056.25
66,2021,14,2021-04-05,Need State 2,354687.0
67,2021,14,2021-04-05,Need State 3,588178.5
68,2021,14,2021-04-05,Need State 4,475796.25
69,2021,14,2021-04-05,Need State 5,992937.0
70,2021,15,2021-04-12,Need State 1,780374.25
71,2021,15,2021-04-12,Need State 2,328035.75
72,2021,15,2021-04-12,Need State 3,463776.75
73,2021,15,2021-04-12,Need State 4,357441.75
74,2021,15,2021-04-12,Need State 5,555201.75
75,2021,16,2021-04-19,Need State 1,416756.25
76,2021,16,2021-04-19,Need State 2,259767.75
77,2021,16,2021-04-19,Need State 3,327388.5
78,2021,16,2021-04-19,Need State 4,518808.0
79,2021,16,2021-04-19,Need State 5,324018.75
80,2021,17,2021-04-26,Need State 1,783196.5
81,2021,17,2021-04-26,Need State 2,290293.5
82,2021,17,2021-04-26,Need State 3,212003.25
83,2021,17,2021-04-26,Need State 4,343884.0
84,2021,17,2021-04-26,Need State 5,407784.75
85,2021,18,2021-05-03,Need State 1,964353.75
86,2021,18,2021-05-03,Need State 2,319240.5
87,2021,18,2021-05-03,Need State 3,289918.5
88,2021,18,2021-05-03,Need State 4,460024.5
89,2021,18,2021-05-03,Need State 5,588853.5
90,2021,19,2021-05-10,Need State 1,644009.25
91,2021,19,2021-05-10,Need State 2,261920.25
92,2021,19,2021-05-10,Need State 3,229689.0
93,2021,19,2021-05-10,Need State 4,368431.5
94,2021,19,2021-05-10,Need State 5,462042.75
95,2021,20,2021-05-17,Need State 1,210880.5
96,2021,20,2021-05-17,Need State 2,271785.0
97,2021,20,2021-05-17,Need State 3,175822.5
98,2021,20,2021-05-17,Need State 4,186488.25
99,2021,20,2021-05-17,Need State 5,437219.25
100,2021,21,2021-05-24,Need State 1,572421.0
101,2021,21,2021-05-24,Need State 2,516226.5
102,2021,21,2021-05-24,Need State 3,468210.75
103,2021,21,2021-05-24,Need State 4,295438.5
104,2021,21,2021-05-24,Need State 5,1303386.0
105,2021,22,2021-05-31,Need State 1,1371993.75
106,2021,22,2021-05-31,Need State 2,402544.5
107,2021,22,2021-05-31,Need State 3,401921.25
108,2021,22,2021-05-31,Need State 4,341385.75
109,2021,22,2021-05-31,Need State 5,444084.0
110,2021,23,2021-06-07,Need State 1,188688.75
111,2021,23,2021-06-07,Need State 2,389661.75
112,2021,23,2021-06-07,Need State 3,328473.75
113,2021,23,2021-06-07,Need State 4,536329.5
114,2021,23,2021-06-07,Need State 5,475248.0
115,2021,24,2021-06-14,Need State 1,265803.0
116,2021,24,2021-06-14,Need State 2,522888.0
117,2021,24,2021-06-14,Need State 3,582267.75
118,2021,24,2021-06-14,Need State 4,491120.25
119,2021,24,2021-06-14,Need State 5,424869.0
120,2021,25,2021-06-21,Need State 1,582181.5
121,2021,25,2021-06-21,Need State 2,442374.75
122,2021,25,2021-06-21,Need State 3,697846.5
123,2021,25,2021-06-21,Need State 4,366459.75
124,2021,25,2021-06-21,Need State 5,669768.0
125,2021,26,2021-06-28,Need State 1,374456.25
126,2021,26,2021-06-28,Need State 2,371931.0
127,2021,26,2021-06-28,Need State 3,733339.5
128,2021,26,2021-06-28,Need State 4,477507.0
129,2021,26,2021-06-28,Need State 5,816594.0
130,2021,27,2021-07-05,Need State 1,744354.75
131,2021,27,2021-07-05,Need State 2,447534.0
132,2021,27,2021-07-05,Need State 3,622235.25
133,2021,27,2021-07-05,Need State 4,272110.5
134,2021,27,2021-07-05,Need State 5,697385.25
135,2021,28,2021-07-12,Need State 1,153197.25
136,2021,28,2021-07-12,Need State 2,430443.0
137,2021,28,2021-07-12,Need State 3,473646.0
138,2021,28,2021-07-12,Need State 4,349866.0
139,2021,28,2021-07-12,Need State 5,506658.75
140,2021,29,2021-07-19,Need State 1,403191.0
141,2021,29,2021-07-19,Need State 2,351768.0
142,2021,29,2021-07-19,Need State 3,531840.0
143,2021,29,2021-07-19,Need State 4,451622.25
144,2021,29,2021-07-19,Need State 5,442292.25
145,2021,30,2021-07-26,Need State 1,566452.5
146,2021,30,2021-07-26,Need State 2,304865.25
147,2021,30,2021-07-26,Need State 3,177859.5
148,2021,30,2021-07-26,Need State 4,309791.25
149,2021,30,2021-07-26,Need State 5,447265.5
150,2021,31,2021-08-02,Need State 1,487445.25
151,2021,31,2021-08-02,Need State 2,542931.75
152,2021,31,2021-08-02,Need State 3,353543.25
153,2021,31,2021-08-02,Need State 4,629710.5
154,2021,31,2021-08-02,Need State 5,585342.0
155,2021,32,2021-08-09,Need State 1,1052920.5
156,2021,32,2021-08-09,Need State 2,483064.5
157,2021,32,2021-08-09,Need State 3,272973.75
158,2021,32,2021-08-09,Need State 4,742052.25
159,2021,32,2021-08-09,Need State 5,531677.25
160,2021,33,2021-08-16,Need State 1,658275.75
161,2021,33,2021-08-16,Need State 2,334887.75
162,2021,33,2021-08-16,Need State 3,341965.5
163,2021,33,2021-08-16,Need State 4,715980.75
164,2021,33,2021-08-16,Need State 5,1149696.0
165,2021,34,2021-08-23,Need State 1,520768.5
166,2021,34,2021-08-23,Need State 2,179756.25
167,2021,34,2021-08-23,Need State 3,220227.0
168,2021,34,2021-08-23,Need State 4,336958.5
169,2021,34,2021-08-23,Need State 5,772803.0
170,2021,35,2021-08-30,Need State 1,324585.0
171,2021,35,2021-08-30,Need State 2,552717.75
172,2021,35,2021-08-30,Need State 3,177987.0
173,2021,35,2021-08-30,Need State 4,249434.25
174,2021,35,2021-08-30,Need State 5,350067.75
175,2021,36,2021-09-06,Need State 1,320163.0
176,2021,36,2021-09-06,Need State 2,170965.5
177,2021,36,2021-09-06,Need State 3,219709.5
178,2021,36,2021-09-06,Need State 4,329004.0
179,2021,36,2021-09-06,Need State 5,431654.25
180,2021,37,2021-09-13,Need State 1,398962.5
181,2021,37,2021-09-13,Need State 2,419973.75
182,2021,37,2021-09-13,Need State 3,266729.25
183,2021,37,2021-09-13,Need State 4,459801.75
184,2021,37,2021-09-13,Need State 5,401247.75
185,2021,38,2021-09-20,Need State 1,632085.75
186,2021,38,2021-09-20,Need State 2,565623.0
187,2021,38,2021-09-20,Need State 3,481889.25
188,2021,38,2021-09-20,Need State 4,444409.5
189,2021,38,2021-09-20,Need State 5,477400.5
190,2021,39,2021-09-27,Need State 1,1025997.75
191,2021,39,2021-09-27,Need State 2,282459.0
192,2021,39,2021-09-27,Need State 3,560955.0
193,2021,39,2021-09-27,Need State 4,545457.75
194,2021,39,2021-09-27,Need State 5,686050.5
195,2021,40,2021-10-04,Need State 1,80189.25
196,2021,40,2021-10-04,Need State 2,267213.75
197,2021,40,2021-10-04,Need State 3,243669.0
198,2021,40,2021-10-04,Need State 4,414002.25
199,2021,40,2021-10-04,Need State 5,236986.5
200,2021,41,2021-10-11,Need State 1,650490.0
201,2021,41,2021-10-11,Need State 2,468106.5
202,2021,41,2021-10-11,Need State 3,323962.5
203,2021,41,2021-10-11,Need State 4,835918.5
204,2021,41,2021-10-11,Need State 5,1000242.75
205,2021,42,2021-10-18,Need State 1,319992.0
206,2021,42,2021-10-18,Need State 2,286435.5
207,2021,42,2021-10-18,Need State 3,129718.5
208,2021,42,2021-10-18,Need State 4,285377.25
209,2021,42,2021-10-18,Need State 5,381074.25
210,2021,43,2021-10-25,Need State 1,192120.75
211,2021,43,2021-10-25,Need State 2,478903.5
212,2021,43,2021-10-25,Need State 3,237707.25
213,2021,43,2021-10-25,Need State 4,263670.0
214,2021,43,2021-10-25,Need State 5,387342.0
215,2021,44,2021-11-01,Need State 1,223115.25
216,2021,44,2021-11-01,Need State 2,512168.25
217,2021,44,2021-11-01,Need State 3,229542.75
218,2021,44,2021-11-01,Need State 4,396127.5
219,2021,44,2021-11-01,Need State 5,344643.0
220,2021,45,2021-11-08,Need State 1,247068.0
221,2021,45,2021-11-08,Need State 2,596028.75
222,2021,45,2021-11-08,Need State 3,377853.0
223,2021,45,2021-11-08,Need State 4,362800.5
224,2021,45,2021-11-08,Need State 5,474536.25
225,2021,46,2021-11-15,Need State 1,163740.0
226,2021,46,2021-11-15,Need State 2,341327.25
227,2021,46,2021-11-15,Need State 3,352458.0
228,2021,46,2021-11-15,Need State 4,322544.25
229,2021,46,2021-11-15,Need State 5,336150.0
230,2021,47,2021-11-22,Need State 1,523181.25
231,2021,47,2021-11-22,Need State 2,506841.0
232,2021,47,2021-11-22,Need State 3,477817.5
233,2021,47,2021-11-22,Need State 4,525870.75
234,2021,47,2021-11-22,Need State 5,332483.25
235,2021,48,2021-11-29,Need State 1,384503.25
236,2021,48,2021-11-29,Need State 2,367848.75
237,2021,48,2021-11-29,Need State 3,159486.0
238,2021,48,2021-11-29,Need State 4,446012.25
239,2021,48,2021-11-29,Need State 5,206840.25
240,2021,49,2021-12-06,Need State 1,343218.0
241,2021,49,2021-12-06,Need State 2,330722.25
242,2021,49,2021-12-06,Need State 3,375309.0
243,2021,49,2021-12-06,Need State 4,370164.75
244,2021,49,2021-12-06,Need State 5,354144.0
245,2021,50,2021-12-13,Need State 1,314396.25
246,2021,50,2021-12-13,Need State 2,256461.0
247,2021,50,2021-12-13,Need State 3,398690.25
248,2021,50,2021-12-13,Need State 4,302901.75
249,2021,50,2021-12-13,Need State 5,370041.75
250,2021,51,2021-12-20,Need State 1,804323.25
251,2021,51,2021-12-20,Need State 2,395858.25
252,2021,51,2021-12-20,Need State 3,326622.0
253,2021,51,2021-12-20,Need State 4,790806.75
254,2021,51,2021-12-20,Need State 5,785989.5
255,2021,52,2021-12-27,Need State 1,118671.75
256,2021,52,2021-12-27,Need State 2,95872.5
257,2021,52,2021-12-27,Need State 3,152532.75
258,2021,52,2021-12-27,Need State 4,225032.25
259,2021,52,2021-12-27,Need State 5,301517.25
260,2022,1,2022-01-03,Need State 1,225132.0
261,2022,1,2022-01-03,Need State 2,239328.75
262,2022,1,2022-01-03,Need State 3,146636.25
263,2022,1,2022-01-03,Need State 4,231120.75
264,2022,1,2022-01-03,Need State 5,323888.25
265,2022,2,2022-01-10,Need State 1,720135.0
266,2022,2,2022-01-10,Need State 2,299952.0
267,2022,2,2022-01-10,Need State 3,398277.0
268,2022,2,2022-01-10,Need State 4,638800.5
269,2022,2,2022-01-10,Need State 5,564081.0
270,2022,3,2022-01-17,Need State 1,227398.5
271,2022,3,2022-01-17,Need State 2,367634.25
272,2022,3,2022-01-17,Need State 3,406825.5
273,2022,3,2022-01-17,Need State 4,573999.0
274,2022,3,2022-01-17,Need State 5,328036.5
275,2022,4,2022-01-24,Need State 1,295862.25
276,2022,4,2022-01-24,Need State 2,250038.0
277,2022,4,2022-01-24,Need State 3,297513.0
278,2022,4,2022-01-24,Need State 4,300548.25
279,2022,4,2022-01-24,Need State 5,472599.75
280,2022,5,2022-01-31,Need State 1,473947.5
281,2022,5,2022-01-31,Need State 2,253847.25
282,2022,5,2022-01-31,Need State 3,424525.5
283,2022,5,2022-01-31,Need State 4,455489.25
284,2022,5,2022-01-31,Need State 5,517918.5
285,2022,6,2022-02-07,Need State 1,615947.25
286,2022,6,2022-02-07,Need State 2,243423.75
287,2022,6,2022-02-07,Need State 3,524013.75
288,2022,6,2022-02-07,Need State 4,436341.0
289,2022,6,2022-02-07,Need State 5,266755.5
290,2022,7,2022-02-14,Need State 1,405015.0
291,2022,7,2022-02-14,Need State 2,328047.0
292,2022,7,2022-02-14,Need State 3,393878.25
293,2022,7,2022-02-14,Need State 4,448062.75
294,2022,7,2022-02-14,Need State 5,311679.75
295,2022,8,2022-02-21,Need State 1,273339.0
296,2022,8,2022-02-21,Need State 2,188490.75
297,2022,8,2022-02-21,Need State 3,168665.25
298,2022,8,2022-02-21,Need State 4,193704.0
299,2022,8,2022-02-21,Need State 5,177261.75
300,2022,9,2022-02-28,Need State 1,1633242.0
301,2022,9,2022-02-28,Need State 2,361269.75
302,2022,9,2022-02-28,Need State 3,269997.75
303,2022,9,2022-02-28,Need State 4,408852.75
304,2022,9,2022-02-28,Need State 5,1193739.0
305,2022,10,2022-03-07,Need State 1,1767609.0
306,2022,10,2022-03-07,Need State 2,414115.5
307,2022,10,2022-03-07,Need State 3,213970.5
308,2022,10,2022-03-07,Need State 4,477458.25
309,2022,10,2022-03-07,Need State 5,670185.75
310,2022,11,2022-03-14,Need State 1,401660.25
311,2022,11,2022-03-14,Need State 2,324297.0
312,2022,11,2022-03-14,Need State 3,317165.25
313,2022,11,2022-03-14,Need State 4,236302.5
314,2022,11,2022-03-14,Need State 5,291765.75
315,2022,12,2022-03-21,Need State 1,923920.5
316,2022,12,2022-03-21,Need State 2,453584.25
317,2022,12,2022-03-21,Need State 3,465645.75
318,2022,12,2022-03-21,Need State 4,419783.25
319,2022,12,2022-03-21,Need State 5,680735.25
320,2022,13,2022-03-28,Need State 1,1434591.75
321,2022,13,2022-03-28,Need State 2,378236.25
322,2022,13,2022-03-28,Need State 3,479124.0
323,2022,13,2022-03-28,Need State 4,377538.75
324,2022,13,2022-03-28,Need State 5,829482.75
325,2022,14,2022-04-04,Need State 1,1005565.5
326,2022,14,2022-04-04,Need State 2,260363.25
327,2022,14,2022-04-04,Need State 3,256968.0
328,2022,14,2022-04-04,Need State 4,213425.25
329,2022,14,2022-04-04,Need State 5,905097.75
330,2022,15,2022-04-11,Need State 1,197555.25
331,2022,15,2022-04-11,Need State 2,323847.75
332,2022,15,2022-04-11,Need State 3,228345.0
333,2022,15,2022-04-11,Need State 4,290613.75
334,2022,15,2022-04-11,Need State 5,446220.75
335,2022,16,2022-04-18,Need State 1,745246.5
336,2022,16,2022-04-18,Need State 2,354027.75
337,2022,16,2022-04-18,Need State 3,289380.75
338,2022,16,2022-04-18,Need State 4,286107.75
339,2022,16,2022-04-18,Need State 5,640003.5
340,2022,17,2022-04-25,Need State 1,746291.25
341,2022,17,2022-04-25,Need State 2,422487.0
342,2022,17,2022-04-25,Need State 3,589102.5
343,2022,17,2022-04-25,Need State 4,458959.5
344,2022,17,2022-04-25,Need State 5,239607.0
345,2022,18,2022-05-02,Need State 1,1124841.0
346,2022,18,2022-05-02,Need State 2,383335.5
347,2022,18,2022-05-02,Need State 3,461808.0
348,2022,18,2022-05-02,Need State 4,440440.5
349,2022,18,2022-05-02,Need State 5,1422577.5
350,2022,19,2022-05-09,Need State 1,825480.0
351,2022,19,2022-05-09,Need State 2,557058.0
352,2022,19,2022-05-09,Need State 3,448005.0
353,2022,19,2022-05-09,Need State 4,570684.0
354,2022,19,2022-05-09,Need State 5,884607.75
355,2022,20,2022-05-16,Need State 1,786371.25
356,2022,20,2022-05-16,Need State 2,364514.25
357,2022,20,2022-05-16,Need State 3,218375.25
358,2022,20,2022-05-16,Need State 4,354081.0
359,2022,20,2022-05-16,Need State 5,1185709.5
360,2022,21,2022-05-23,Need State 1,1481271.75
361,2022,21,2022-05-23,Need State 2,475058.25
362,2022,21,2022-05-23,Need State 3,405483.0
363,2022,21,2022-05-23,Need State 4,330423.75
364,2022,21,2022-05-23,Need State 5,634808.25
365,2022,22,2022-05-30,Need State 1,578701.5
366,2022,22,2022-05-30,Need State 2,253146.0
367,2022,22,2022-05-30,Need State 3,279737.25
